# Constructed from biom file
#OTU ID	ERR1883195	ERR1883207	ERR1883210	ERR1883212	ERR1883225	ERR1883247	ERR1883261	ERR1883273	ERR1883285	ERR1883293	ERR1883297	ERR1883320	ERR1883331
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	25320.0	24635.0	42932.0	12434.0	5416.0	11255.0	18927.0	1978.0	13684.0	7.0	30458.0	11714.0	29670.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	2556.0	3366.0	1122.0	3628.0	98.0	2865.0	1960.0	14114.0	1782.0	2.0	5133.0	1744.0	1149.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	4749.0	3739.0	2219.0	10854.0	239.0	1773.0	4403.0	654.0	1504.0	0.0	7751.0	5623.0	2155.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	1768.0	2660.0	882.0	3877.0	184.0	2249.0	3350.0	21139.0	979.0	0.0	2939.0	3426.0	1432.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	1780.0	1200.0	4588.0	1854.0	160.0	1577.0	1589.0	1321.0	1455.0	0.0	2442.0	3116.0	1434.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	1910.0	2774.0	1516.0	3246.0	215.0	1931.0	2319.0	5983.0	1108.0	0.0	4253.0	3045.0	1840.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__	2185.0	3012.0	536.0	479.0	498.0	1172.0	1685.0	67.0	628.0	0.0	224.0	2280.0	3483.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium	942.0	1097.0	748.0	4077.0	84.0	667.0	1111.0	1440.0	397.0	0.0	2750.0	2520.0	331.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	1817.0	2256.0	863.0	149.0	357.0	1333.0	1191.0	85.0	2712.0	0.0	1392.0	2111.0	2498.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	1145.0	1875.0	1165.0	1976.0	75.0	997.0	1751.0	5315.0	765.0	0.0	2367.0	7770.0	1756.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	335.0	278.0	148.0	1727.0	51.0	136.0	867.0	4168.0	82.0	0.0	2822.0	558.0	72.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira	400.0	731.0	294.0	116.0	75.0	1604.0	5445.0	552.0	3030.0	0.0	460.0	1334.0	7617.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus]	414.0	1888.0	459.0	1138.0	67.0	955.0	875.0	4936.0	2116.0	0.0	1698.0	1169.0	842.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia	6.0	600.0	11.0	0.0	0.0	102.0	1104.0	93.0	5438.0	3.0	33.0	32.0	1858.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	3084.0	3506.0	1964.0	285.0	890.0	1183.0	583.0	254.0	491.0	0.0	2138.0	1929.0	1782.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger	257.0	1398.0	159.0	1482.0	28.0	986.0	387.0	1690.0	1612.0	5.0	539.0	1175.0	450.0
Unassigned;__;__;__;__;__	0.0	10.0	2.0	19.0	569.0	0.0	7.0	0.0	4.0	6307.0	6.0	12.0	10.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella	1604.0	176.0	2080.0	578.0	94.0	55.0	28.0	23.0	58.0	0.0	842.0	198.0	630.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;__	1026.0	1068.0	978.0	1327.0	42.0	690.0	490.0	2007.0	561.0	0.0	1664.0	1169.0	581.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Acidaminococcus	552.0	663.0	329.0	367.0	68.0	257.0	434.0	44.0	87.0	0.0	959.0	203.0	432.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__	432.0	274.0	662.0	2718.0	55.0	170.0	233.0	575.0	77.0	0.0	503.0	279.0	63.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	87.0	166.0	301.0	171.0	7.0	17.0	41.0	1926.0	0.0	0.0	2267.0	47.0	27.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	94.0	191.0	49.0	304.0	2.0	128.0	154.0	1823.0	396.0	0.0	236.0	258.0	87.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	20.0	62.0	4.0	5118.0	0.0	8.0	13.0	269.0	87.0	0.0	137.0	23.0	5.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	834.0	312.0	764.0	125.0	20.0	604.0	1388.0	273.0	2185.0	0.0	617.0	438.0	1276.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Succiniclasticum	578.0	415.0	491.0	153.0	0.0	106.0	248.0	57.0	351.0	0.0	143.0	442.0	304.0
k__Bacteria;__;__;__;__;__	33.0	107.0	49.0	207.0	4137.0	35.0	36.0	52.0	47.0	3014.0	161.0	53.0	52.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;__	325.0	247.0	187.0	24.0	46.0	153.0	157.0	10.0	87.0	0.0	282.0	205.0	613.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter	320.0	466.0	171.0	9.0	55.0	206.0	150.0	13.0	22.0	0.0	154.0	479.0	436.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	121.0	189.0	42.0	628.0	0.0	95.0	140.0	178.0	86.0	0.0	19.0	106.0	69.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnobacterium	0.0	0.0	1390.0	0.0	0.0	23.0	0.0	0.0	23.0	0.0	0.0	0.0	125.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	124.0	147.0	18.0	497.0	2.0	123.0	148.0	241.0	39.0	0.0	31.0	140.0	56.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	372.0	542.0	464.0	308.0	0.0	234.0	223.0	359.0	71.0	0.0	401.0	194.0	278.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	404.0	179.0	113.0	165.0	2.0	223.0	88.0	23.0	23.0	0.0	45.0	215.0	140.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus	88.0	52.0	170.0	422.0	2.0	0.0	0.0	35.0	0.0	0.0	68.0	204.0	54.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes	101.0	141.0	226.0	95.0	22.0	55.0	158.0	138.0	62.0	0.0	77.0	173.0	78.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;__	264.0	230.0	232.0	499.0	0.0	169.0	213.0	13.0	769.0	0.0	123.0	256.0	134.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	171.0	394.0	100.0	24.0	0.0	243.0	247.0	101.0	439.0	0.0	32.0	88.0	262.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__	164.0	181.0	200.0	71.0	11.0	121.0	229.0	190.0	829.0	0.0	52.0	201.0	299.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira	24.0	43.0	202.0	166.0	0.0	0.0	22.0	13.0	0.0	0.0	161.0	10.0	11.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter	81.0	14.0	19.0	10.0	9.0	11.0	111.0	947.0	8.0	0.0	19.0	0.0	6.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__	66.0	51.0	26.0	0.0	0.0	139.0	21.0	0.0	10.0	0.0	32.0	106.0	134.0
